OTU_ID	MSM5LLHZ_P	taxonomy
264693	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Lachnospiraceae', 'g__', |s__']
1111456	0.0	['k__Bacteria', 'p__Proteobacteria', 'c__Gammaproteobacteria', 'o__Pseudomonadales', 'f__Pseudomonadaceae', 'g__Pseudomonas', |s__']
592160	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Bacilli', 'o__Lactobacillales', 'f__Lactobacillaceae', 'g__Lactobacillus', |s__']
262104	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Lachnospiraceae', 'g__', |s__']
1974536	0.0	['k__Bacteria', 'p__Proteobacteria', 'c__Betaproteobacteria', 'o__Burkholderiales', 'f__Alcaligenaceae', 'g__Sutterella', |s__']
4307790	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Veillonellaceae', 'g__Selenomonas', |s__']
350297	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__', 'g__', |s__']
196271	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__', 'g__', |s__']
177228	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Clostridiaceae', 'g__', |s__']
OTU2998	0.0	['Unclassified']
590051	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Veillonellaceae', 'g__Dialister', |s__']
530206	0.0	['k__Bacteria', 'p__Bacteroidetes', 'c__Bacteroidia', 'o__Bacteroidales', 'f__Prevotellaceae', 'g__Prevotella', |s__']
537098	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Lachnospiraceae', 'g__', |s__']
272953	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Ruminococcaceae', 'g__Oscillospira', |s__']
OTU5096	0.0	['Unclassified']
OTU2994	0.0	['Unclassified']
OTU2996	0.0	['Unclassified']
OTU3558	0.0	['Unclassified']
OTU3559	0.0	['Unclassified']
OTU3552	0.0	['Unclassified']
OTU3551	0.0	['Unclassified']
OTU3556	0.0	['Unclassified']
